City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Tessalit,ML,2019-11-04 08:02:54,20.2,1.01,88.07,14,0,11.21,clear sky,0,0
1,Atuona,PF,2019-11-04 08:02:54,-9.8,-139.03,80.33,76,0,18.99,clear sky,0,0
2,Mataura,NZ,2019-11-04 08:02:54,-46.19,168.86,66.0,50,100,4.0,overcast clouds,0,0
3,Ulladulla,AU,2019-11-04 08:02:55,-35.36,150.48,66.2,77,75,10.29,broken clouds,0,0
4,Ocos,GT,2019-11-04 08:02:55,14.51,-92.19,73.4,94,20,2.24,few clouds,0,0
5,Kapaa,US,2019-11-04 08:02:55,22.08,-159.32,77.0,78,90,3.06,overcast clouds,0,0
6,Arraial Do Cabo,BR,2019-11-04 08:02:55,-22.97,-42.02,75.22,86,99,18.95,overcast clouds,0,0
7,Phek,IN,2019-11-04 08:02:56,25.7,94.46,71.29,67,6,1.99,light rain,1.25,0
8,Lebu,ET,2019-11-04 08:02:56,8.96,38.73,66.74,52,87,12.28,overcast clouds,0,0
9,Saint-Philippe,CA,2019-11-04 08:02:56,45.36,-73.48,37.4,78,90,12.75,overcast clouds,0,0
10,Jamestown,AU,2019-11-04 08:02:56,-33.21,138.6,54.95,51,0,14.9,clear sky,0,0
11,Pitimbu,BR,2019-11-04 08:02:56,-7.47,-34.81,73.4,94,75,4.7,broken clouds,0,0
12,Adrar,DZ,2019-11-04 08:02:57,27.87,-0.29,62.6,42,0,4.7,clear sky,0,0
13,Avarua,CK,2019-11-04 08:02:57,-21.21,-159.78,69.8,64,100,4.7,overcast clouds,0,0
14,Port Lincoln,AU,2019-11-04 08:02:57,-34.72,135.86,56.66,64,6,11.59,clear sky,0,0
15,Cape Town,ZA,2019-11-04 08:02:07,-33.93,18.42,73.99,49,23,8.05,few clouds,0,0
16,Galle,GN,2019-11-04 08:02:58,10.08,-12.83,77.81,73,70,0.49,broken clouds,0,0
17,New Norfolk,AU,2019-11-04 08:02:58,-42.78,147.06,55.0,58,75,12.75,broken clouds,0,0
18,Cabo San Lucas,MX,2019-11-04 08:02:58,22.89,-109.91,73.99,79,50,1.88,scattered clouds,0,0
19,Ushuaia,AR,2019-11-04 08:01:01,-54.81,-68.31,37.4,86,90,29.97,light intensity drizzle,0,0
